topic_id,openalex_id,display_name,description,keywords,domain_id,domain_name,field_id,field_name,subfield_id,subfield_name,works_count,cited_by_count,works_api_url,updated_date,created_date,source,fetched_at
T12157,https://openalex.org/T12157,Geochemistry and Geologic Mapping,"This cluster of papers focuses on the application of machine learning, remote sensing, and compositional data analysis techniques for mineral prospectivity mapping. It explores the use of advanced technologies such as ASTER and hyperspectral imaging to identify geological features, geochemical anomalies, and hydrothermal alterations associated with mineralization. The cluster also delves into the challenges and opportunities in using support vector machines, fractal modeling, and statistical analysis for predicting undiscovered mineral deposits.",Machine Learning; Mineral Prospectivity; Remote Sensing; Compositional Data Analysis; Geological Mapping; Hyperspectral Imaging; Support Vector Machines; Fractal Modeling; Geochemical Anomalies; Lithological Mapping,https://openalex.org/domains/3,Physical Sciences,https://openalex.org/fields/17,Computer Science,https://openalex.org/subfields/1702,Artificial Intelligence,3956535,1696319,https://api.openalex.org/works?filter=topics.id:T12157,2026-06-19T03:01:20,2024-01-23T15:27:13,OpenAlex Topics API,2026-06-19T23:47:35+00:00
T13650,https://openalex.org/T13650,Computational Physics and Python Applications,"This cluster of papers covers a wide range of topics related to scientific computing and data analysis using Python. It includes statistical modeling, machine learning, visualization, geospatial mapping, geomorphology, oceanography, and HF radio networking. The papers showcase the diverse applications and tools available for scientific research and data analysis in various fields.",Python; Scientific Computing; Statistical Modeling; Machine Learning; Data Analysis; Visualization; Geospatial Mapping; Geomorphology; Oceanography; HF Radio Networking,https://openalex.org/domains/3,Physical Sciences,https://openalex.org/fields/17,Computer Science,https://openalex.org/subfields/1702,Artificial Intelligence,413354,672810,https://api.openalex.org/works?filter=topics.id:T13650,2026-06-19T03:01:20,2024-01-23T15:27:19,OpenAlex Topics API,2026-06-19T23:47:35+00:00
T10181,https://openalex.org/T10181,Natural Language Processing Techniques,"This cluster of papers focuses on statistical machine translation, neural machine translation, dependency parsing, word sense disambiguation, and part-of-speech tagging. It also covers topics such as corpus linguistics, syntax-based translation models, multilingual neural machine translation, and language modeling.",Statistical Machine Translation; Neural Machine Translation; Dependency Parsing; Word Sense Disambiguation; Part-of-Speech Tagging; Corpus Linguistics; Syntax-based Translation Models; Multilingual Neural Machine Translation; Lexical Database; Language Modeling,https://openalex.org/domains/3,Physical Sciences,https://openalex.org/fields/17,Computer Science,https://openalex.org/subfields/1702,Artificial Intelligence,297455,3050416,https://api.openalex.org/works?filter=topics.id:T10181,2026-06-19T03:01:20,2024-01-23T15:27:05,OpenAlex Topics API,2026-06-19T23:47:35+00:00
T14335,https://openalex.org/T14335,Educational Robotics and Engineering,"This cluster of papers focuses on robotics programming education for elementary and junior high school students, university education, and mechatronics education. It emphasizes self-directed learning, creative activity, and the development of learning environments fostering creativity. The papers also discuss the educational effects of participation in robot competitions and the application of control engineering in teaching materials.",Robotics Programming; Education; Learning Environments; Engineering Design; Humanoid Robotics; Creative Activity; STEM Education; Control Engineering; Self-directed Learning; Robot Competition,https://openalex.org/domains/3,Physical Sciences,https://openalex.org/fields/17,Computer Science,https://openalex.org/subfields/1702,Artificial Intelligence,276539,55308,https://api.openalex.org/works?filter=topics.id:T14335,2026-06-19T03:01:20,2024-01-23T15:27:22,OpenAlex Topics API,2026-06-19T23:47:35+00:00
T13398,https://openalex.org/T13398,Data Analysis with R,"This cluster of papers focuses on statistical computing and data analysis using the R language. It covers a wide range of topics including statistical analysis, data visualization, parallel computing, time series analysis, spatial data, machine learning, geospatial analysis, statistical modeling, and big data.",R language; statistical analysis; data visualization; parallel computing; time series analysis; spatial data; machine learning; geospatial analysis; statistical modeling; big data,https://openalex.org/domains/3,Physical Sciences,https://openalex.org/fields/17,Computer Science,https://openalex.org/subfields/1702,Artificial Intelligence,252932,676274,https://api.openalex.org/works?filter=topics.id:T13398,2026-06-19T03:01:20,2024-01-23T15:27:18,OpenAlex Topics API,2026-06-19T23:47:35+00:00
T10320,https://openalex.org/T10320,Neural Networks and Applications,"This cluster of papers covers a wide range of topics related to neural networks, including backpropagation learning, self-organizing maps, radial basis function networks, deep learning, and applications such as pattern classification and function approximation.",Neural Networks; Self-Organizing Maps; Backpropagation Learning; Radial Basis Function Networks; Deep Learning; Artificial Neural Networks; Recurrent Neural Networks; Feedforward Neural Networks; Pattern Classification; Function Approximation,https://openalex.org/domains/3,Physical Sciences,https://openalex.org/fields/17,Computer Science,https://openalex.org/subfields/1702,Artificial Intelligence,252045,4441016,https://api.openalex.org/works?filter=topics.id:T10320,2026-06-19T03:01:20,2024-01-23T15:27:06,OpenAlex Topics API,2026-06-19T23:47:35+00:00
T13734,https://openalex.org/T13734,Advanced Computational Techniques and Applications,"This cluster of papers covers a wide range of topics related to artificial intelligence, expert systems, machine learning, control systems, fault diagnosis, ontology, and spatial information. It explores applications such as wavelet analysis, bioenergy, small business strategies, and multidisciplinary design optimization. The papers also delve into topics like language, logic, fluid mechanics, and marine data services.",Expert Systems; Wavelet Analysis; Machine Learning; Ontology; Control Systems; Fault Diagnosis; Semantic Knowledge Base; Spatial Information; Data Integration; Intelligent Systems,https://openalex.org/domains/3,Physical Sciences,https://openalex.org/fields/17,Computer Science,https://openalex.org/subfields/1702,Artificial Intelligence,180035,203074,https://api.openalex.org/works?filter=topics.id:T13734,2026-06-19T03:01:20,2024-01-23T15:27:19,OpenAlex Topics API,2026-06-19T23:47:35+00:00
T10215,https://openalex.org/T10215,Semantic Web and Ontologies,"This cluster of papers focuses on the Semantic Web, ontology development, and related technologies such as Linked Data, RDF, OWL, schema matching, SPARQL, and knowledge representation. It covers topics like data integration, description logics, and the use of ontologies for information retrieval and knowledge management.",Semantic Web; Ontology; Linked Data; RDF; OWL; Schema Matching; SPARQL; Knowledge Representation; Data Integration; Description Logics,https://openalex.org/domains/3,Physical Sciences,https://openalex.org/fields/17,Computer Science,https://openalex.org/subfields/1702,Artificial Intelligence,172140,1497359,https://api.openalex.org/works?filter=topics.id:T10215,2026-06-19T03:01:20,2024-01-23T15:27:05,OpenAlex Topics API,2026-06-19T23:47:35+00:00
T10028,https://openalex.org/T10028,Topic Modeling,"This cluster of papers covers a wide range of advancements in natural language processing, including neural network architectures, word representation models, machine translation techniques, text classification algorithms, semantic similarity measures, named entity recognition methods, pretrained language models, sequence-to-sequence learning approaches, topic modeling strategies, and information retrieval systems.",Neural Networks; Word Representation; Machine Translation; Text Classification; Semantic Similarity; Named Entity Recognition; Pretrained Models; Sequence-to-Sequence Learning; Topic Modeling; Information Retrieval,https://openalex.org/domains/3,Physical Sciences,https://openalex.org/fields/17,Computer Science,https://openalex.org/subfields/1702,Artificial Intelligence,171928,2398065,https://api.openalex.org/works?filter=topics.id:T10028,2026-06-19T03:01:20,2024-01-23T15:27:05,OpenAlex Topics API,2026-06-19T23:47:35+00:00
T13623,https://openalex.org/T13623,Linguistic Studies and Language Acquisition,"This cluster of papers focuses on the compilation, annotation, and analysis of spoken language corpora in Italian and Portuguese, with a particular emphasis on prosody, pragmatics, and information structure. It also delves into linguistic annotation, language teaching, and cross-linguistic analysis.",Spoken Language; Corpora; Italian; Portuguese; Prosody; Pragmatics; Information Structure; Linguistic Annotation; Language Teaching; Cross-linguistic Analysis,https://openalex.org/domains/3,Physical Sciences,https://openalex.org/fields/17,Computer Science,https://openalex.org/subfields/1702,Artificial Intelligence,159424,211183,https://api.openalex.org/works?filter=topics.id:T13623,2026-06-19T03:01:20,2024-01-23T15:27:19,OpenAlex Topics API,2026-06-19T23:47:35+00:00
